tax	ADAL1	ADAL3	ADALmet1	ADALmet2	ADUP1	ADUP3	ADUPmet1	ADUPmet2	KUAL1	KUAL2	KUAL3	KUALmet1	KUALmet2	KUALmet3	KUUP1	KUUP2	KUUP3	KUUPmet2
9787aec41281f8cbbbbe6d385c7f7d5f	83	27	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e6b08dc0acabecc8118f3fabf9bc9572	0	22	19	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c12a6ef9207dde7fca9d89c783fc5b6	0	0	0	0	0	0	0	0	0	15	39	19	10	32	12	42	0	46
4d232388c870ff57cb765851d413635b	33	31	15	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8590a9e2ab2b0f8b4f1ad607d191eb70	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	106	0	147
d61de8a7f283f0573c4e09bcd4610252	0	0	20	26	0	0	0	0	0	11	0	0	0	0	0	0	0	0
514be7f0f7ffb9a8c7ec63dec6b4daee	0	0	0	0	0	0	0	0	0	12	22	8	4	0	0	0	0	0
267846eafb7efee3cf2fd62210f932fd	23	24	5	0	10	11	7	0	0	6	19	17	0	18	7	0	15	0
7794c680f4c4733e6e04652b97e03040	32	12	14	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9edbda69bdcd153dc698ac27c87e1cbe	57	21	14	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c145f522bbee732b43a8345e94ccd538	0	0	0	0	0	0	0	0	47	19	31	14	5	32	0	0	0	0
24376a207a4c559e12de5f5bd7335d6f	0	0	0	0	0	0	0	0	37	18	15	25	15	29	9	29	36	0
d91f7efc4329ae18678a07fcafa02cd1	0	17	19	33	0	0	0	0	0	0	0	16	0	20	0	0	0	0
2fbc2934ed63a860800b51555cab2969	44	36	14	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
edec45a4af958872e86daceb1543d3fb	0	0	0	0	0	0	0	0	0	13	43	23	30	42	19	0	0	0
bddc6eca1ec09756395d8dc2f8c9cb82	26	16	16	21	0	11	0	0	0	0	0	0	0	0	0	0	0	0
37623bb2ab22f326c5add6829a4af63f	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
da1bed7644dc04986d32ce753513a1c1	0	0	27	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15fb0ccd2695fada8bd59358000c1980	0	23	23	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0
9cb6f9c4b5288732b5e53332557f5f49	29	25	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55409ff8a0e7fc957120aa1f14571d7c	0	0	3	0	0	0	0	0	0	20	25	38	34	0	0	0	21	0
fb5c3f41fa8264d49fef41788e111863	37	29	10	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1eb128b0ea70701d4dda65c8a12ec0ed	0	0	0	0	11	0	0	0	0	0	0	0	0	0	46	56	46	56
4f2ff0c68478d8cae65eb15606841625	0	0	0	0	0	0	0	0	0	0	3	0	0	3	5	0	21	0
369a0bcfa20d9818cca0df074e289054	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
08aeecfe5b433d57a345ba44068ca619	0	13	28	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bfe187cabb0d5047aea17713ed552cff	17	13	24	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7cb80e2f2bf64d063accca7a0b8eb256	49	29	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78acbc0e82d11399cb444b596ac831e4	21	20	20	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1feb293051e847fea73fe2b7d58384d6	41	24	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900155e4333fc5760368123723c9365d	0	0	6	0	0	0	0	0	0	7	20	18	0	21	4	0	0	0
0906a61308a4b1eb6ba1595008b756fa	0	0	0	0	0	0	0	0	0	27	21	33	23	0	21	0	0	0
00c1af5a76938bfa42b739805389bffb	0	0	0	0	0	0	0	0	0	0	0	4	0	0	30	52	76	52
3cd0a1c25ab6690dbc5056de11ae124c	0	0	0	0	0	5	0	0	0	1	0	0	5	0	0	20	0	17
400f12270d957c1290b3761e1b174b2c	0	0	0	0	62	54	49	76	0	0	0	0	0	0	0	0	0	0
fd2856c8caf6cd3880bd1330dd475b34	23	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3fc6f1a0be8294401e498773f3351e5c	0	9	21	25	0	0	0	0	0	5	0	0	0	0	0	0	0	0
32deafb057a293c4b8084c2ab15dd3f5	0	0	2	0	0	0	0	0	48	13	38	23	23	0	15	0	0	0
abf895458a52051e925218ad56ab518e	0	0	0	0	0	0	0	0	0	9	0	0	0	0	13	99	24	93
06d3fdfb3578816ead563c9b416bffe1	0	0	15	0	0	0	0	0	13	19	15	0	15	0	0	0	0	0
84fa188cb73231e123920dcbd69ff31b	0	0	0	0	0	0	0	0	31	24	21	20	0	36	6	32	0	0
ac75eb60de50911c0e5e2a17d07e7755	0	44	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38461859981475b22485e60c7bb4a126	0	0	0	0	0	0	0	0	20	33	17	17	19	0	8	0	31	20
d3ecf8ffbac458ef0d1e76d4c78580f0	0	0	11	26	0	11	0	13	12	5	0	0	8	0	6	11	0	15
