location	1990-1	2019-1	change absolute number(%)	1990-2	2019-2	EAPC_ASIR
Kazakhstan	25.37 [22.25-28.91]	23.02 [19.92-26.14]	-9.26290894757588	14.92 [13.16-16.9]	12.64 [10.98-14.38]	-0.92 [-1.12 to -0.72]
Hungary	5.89 [5.07-6.68]	5.47 [4.71-6.27]	-7.13073005093378	5.97 [5.11-6.86]	5.84 [4.98-6.78]	-0.11 [-0.18 to -0.04]
Antigua and Barbuda	0.08 [0.07-0.09]	0.09 [0.07-0.1]	12.5	12.25 [10.5-14.23]	11.43 [9.61-13.4]	-0.3 [-0.36 to -0.24]
Republic of Moldova	4.12 [3.52-4.73]	3.34 [2.92-3.75]	-18.9320388349515	9.31 [8-10.74]	9.46 [8.18-10.85]	0.09 [0.02 to 0.16]
Panama	3.85 [3.16-4.66]	5.61 [4.68-6.67]	45.7142857142857	14.93 [12.45-17.84]	13.8 [11.48-16.51]	-0.3 [-0.38 to -0.22]
Iraq	25.95 [22.03-30.49]	45.82 [39.21-53.21]	76.5703275529865	12.61 [11.06-14.34]	11.08 [9.62-12.7]	-0.62 [-0.76 to -0.48]
Singapore	1.91 [1.6-2.26]	3.12 [2.66-3.59]	63.3507853403142	7.28 [6.02-8.65]	6.94 [5.73-8.27]	-0.25 [-0.29 to -0.2]
Guam	0.15 [0.12-0.18]	0.18 [0.15-0.21]	20	10.56 [8.68-12.66]	10.55 [8.76-12.44]	0.01 [-0.01 to 0.03]
Lebanon	4.83 [4.15-5.55]	6.35 [5.56-7.21]	31.4699792960662	14.19 [12.48-15.99]	12.43 [10.87-14.14]	-0.62 [-0.73 to -0.5]
Micronesia (Federated States of)	0.14 [0.11-0.17]	0.11 [0.09-0.13]	-21.4285714285714	10.75 [8.86-12.71]	10.58 [8.79-12.71]	-0.07 [-0.1 to -0.05]
North Macedonia	1.15 [0.98-1.32]	1.18 [1.01-1.36]	2.60869565217392	5.81 [4.98-6.74]	5.76 [4.87-6.67]	-0.01 [-0.06 to 0.03]
Togo	6.67 [5.58-7.92]	13.83 [11.71-16.16]	107.346326836582	17.95 [15.68-20.37]	17.87 [15.6-20.31]	0 [-0.03 to 0.02]
Cuba	13.27 [11.42-15.43]	10.96 [9.45-12.59]	-17.4076865109269	13.34 [11.4-15.55]	11.35 [9.48-13.42]	-0.67 [-0.82 to -0.51]
Austria	9.97 [8.97-10.95]	11.39 [10.2-12.5]	14.2427281845537	12.35 [11.13-13.64]	11.8 [10.42-13.17]	-0.08 [-0.15 to -0.01]
Lesotho	2.93 [2.44-3.5]	3.09 [2.59-3.63]	5.46075085324231	15.12 [12.99-17.46]	14.95 [12.76-17.23]	-0.03 [-0.08 to 0.03]
Bolivia (Plurinational State of)	7.96 [6.73-9.42]	12.05 [10.19-14.01]	51.3819095477387	10.42 [9.01-11.96]	9.59 [8.19-11]	-0.37 [-0.4 to -0.34]
Russian Federation	164.44 [145.18-184.66]	140.19 [123.05-156.49]	-14.7470201897349	11.31 [9.95-12.87]	9.96 [8.62-11.4]	-0.59 [-0.68 to -0.51]
Venezuela (Bolivarian Republic of)	32.34 [26.13-39.37]	35.79 [29.98-42.3]	10.6679035250464	15.14 [12.64-17.94]	13.83 [11.46-16.58]	-0.36 [-0.47 to -0.25]
Greece	6.72 [5.82-7.64]	7.39 [6.48-8.4]	9.97023809523809	6.45 [5.53-7.41]	6.52 [5.58-7.51]	0.06 [0.02 to 0.1]
Indonesia	190.67 [151.09-235.74]	128.92 [106.91-154.57]	-32.3857974510935	9.44 [7.68-11.46]	5.74 [4.81-6.81]	-2.18 [-2.54 to -1.82]
Tajikistan	7.29 [6.03-8.75]	11.73 [9.89-13.85]	60.9053497942387	11.74 [10.01-13.7]	11.79 [10.06-13.76]	0.05 [-0.04 to 0.14]
Algeria	24.36 [20.15-29.13]	34.07 [29-39.56]	39.8604269293925	8.55 [7.27-9.9]	8.35 [7.16-9.67]	-0.08 [-0.13 to -0.03]
Democratic Republic of the Congo	64.55 [53.78-76.77]	137.56 [114.79-163.73]	113.106119287374	14.88 [12.85-17.13]	14.73 [12.69-17.01]	-0.02 [-0.06 to 0.02]
Vanuatu	0.2 [0.16-0.25]	0.35 [0.28-0.42]	75	10.68 [8.92-12.67]	10.58 [8.81-12.54]	-0.03 [-0.06 to -0.01]
Belize	0.3 [0.25-0.36]	0.45 [0.38-0.53]	50	13.22 [11.26-15.35]	11.4 [9.7-13.26]	-0.59 [-0.69 to -0.49]
Kyrgyzstan	6.38 [5.51-7.38]	7.78 [6.62-9.04]	21.9435736677116	13.06 [11.45-14.86]	11.57 [9.95-13.32]	-0.59 [-0.68 to -0.49]
