,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
TCGA.AA.A02Y.01A.43R.A32Y.07,0.174456185977939,-0.216880469631991,0.304215248218732,0.031584450914345,-0.194699639056296,0.0765449757620235,0.0557138467890811,0.00930833911493584,-0.162444063793466,-0.155308352522684,0.0798555907180231,0.0518666148089144,0.0807586632679629,0.0302180685358256,0.0453161360132927,0.25132875798323,0.0466048558518406,0.117318789803806,-0.0164438162331156,-0.0814246410552028,0.0424417938001594,0.0386312810852725,0.0842792390239352,-0.127803738317757
TCGA.AZ.4313.01A.01R.1410.07,-0.0476900874109981,-0.244987356425308,0.251720603479404,-0.0180020191087642,-0.0586585724388163,0.0430716052322037,0.0842768454665198,0.0541475965671588,-0.132156186939288,-0.117184915227022,0.267645354017065,0.0430441265942625,0.153013219517004,0.11316199376947,-0.0212649290298699,0.235491245529347,-0.0106208567249175,0.116440226305707,-0.029793423995366,-0.0896772414070501,-0.03433399356311,0.0762500127910957,0.0481586509553979,-0.109968847352025
TCGA.AA.3866.01A.01R.1022.07,0.145927093849093,-0.173981523491886,0.279730793611798,0.0357991174132826,0.192636835292867,0.108962950200703,0.163027185464385,0.277005126918426,-0.150296367154485,7.56548020822445e-05,0.0426752112557765,0.0947869284871201,0.154103330280408,0.264953271028037,0.0994169037800864,0.324881792941232,0.0670343528896247,0.198868112737857,-0.0266337965901563,-0.0426471491866025,0.0437833151327627,-0.0829491306718215,0.0670708287942089,0.153894080996885
TCGA.CM.4752.01A.01R.1410.07,0.0770955163126439,-0.175500658520488,0.290579085864376,0.0386300138118281,-0.0830524551022406,0.0665853454242936,0.0800123637782996,0.132974303011292,-0.115810317991578,-0.0787259123948128,0.0270107309804772,0.0823420618800757,0.125829880293341,0.383878504672897,0.0978824695091083,0.295080468297075,0.0231246050247616,0.1606151331997,0.000794789758119046,-0.0313678835097038,0.00327800608970769,-0.0398215304973933,0.0237244091435875,0.0455607476635514
TCGA.AA.3842.01A.01R.1022.07,-0.0977626878120673,-0.215906201843393,0.277714099850441,0.00628633619788569,-0.103046918735275,0.106110733961757,0.114017798728492,0.2218182812676,-0.0918072057162216,-0.0845209476485579,0.0919096402022563,0.00212990648303647,0.138026713052342,0.0595794392523365,-0.000937687721116005,0.283270965644872,0.0527873602571128,0.14479511521278,-0.0235510928831924,-0.0578041389998558,0.0277199249756595,-0.142987076538602,0.0679783731446602,-0.0887071651090343
TCGA.A6.3809.01A.01R.1022.07,0.136609178752222,-0.216803496311543,0.318141317343228,0.1628498433442,0.0664373382979038,0.0892833439718118,0.129839567539772,0.274137323407653,-0.126195323427172,0.00348826955218957,0.103789169481251,0.0188560551971644,0.118539646168651,0.0982866043613707,0.102985022970345,0.34330488743426,0.0497487212357638,0.166867054471158,0.00152594307252954,-0.0541223578188275,0.0937941077008402,-0.0104049114803452,0.0838293925279973,0.0474299065420561
TCGA.D5.6541.01A.11R.1723.07,0.0502989972258541,-0.18634911228234,0.290812294357223,0.0259527846632894,-0.0869839506511229,0.0495032289046154,0.138065734681266,0.249961275688536,-0.114176030900514,-0.0711917724193108,0.0215639923781137,0.0504066048279877,0.156346665541889,0.404750778816199,0.0551515210734408,0.287701612460996,0.0491550545940574,0.175664986938466,-0.036965293412884,-0.0432766565648747,0.019514367378993,-0.0464667470656567,0.00324478087145542,-0.115342679127726
TCGA.AU.3779.01A.01R.1723.07,0.162476624849889,-0.181572421518952,0.295934170045952,-0.0127358052608226,-0.0582211853795604,0.0775477959241339,0.120032121135197,0.173400412232106,-0.16860420992267,-0.0576341853829763,0.0176933115885054,0.0308881109305846,0.149701503027462,0.656230529595016,0.104644157868045,0.280111250241005,0.0473830822649742,0.164444924479109,-0.0195538049104791,-0.0566518742808336,0.0327000174121712,-0.0233217356680197,0.0247254054741743,0.12196261682243
TCGA.AA.A01V.01A.23R.A083.07,0.0202137288935357,-0.240174966866082,0.279668929695788,0.00942190899481386,-0.125375145081403,0.072959270068109,0.111521216310621,0.00527837578004217,-0.151299773143957,-0.143534878308063,0.103765206535255,0.0917921695324434,0.118872532079979,0.0385514018691589,0.0261934026065773,0.262767126371476,0.0518986009569794,0.131818784255298,0.0246084341908031,-0.0935787505295376,-0.00352926623113601,0.223954705808791,0.037243464277152,-0.097196261682243
TCGA.A6.6650.01A.11R.1774.07,-0.0296640614144579,-0.197946128438435,0.255775132544506,-0.145086370980061,-0.179618853722887,0.0808287050109299,0.0313184051384406,0.0330460166215932,-0.177088926232468,-0.123894683790834,0.0518637881389039,-0.000104607798918352,0.12359294919385,0.148753894080997,-0.0707223333427174,0.295096488590953,0.0799291657757879,0.152300217291055,-0.0357087876659016,-0.0368507127278503,-0.00981813918815445,0.00720671973446161,0.0703183888124642,-0.156775700934579
