SYMBOL,avg_log2FC,AveExpr,t,Pvalue,adj.P.Val,B
JRKL,0.035146297,3.091223521,1.287066897,0.232485206,0.493257789,-5.700231686
KIAA1430,0.054162182,3.565802163,1.286728716,0.232597624,0.493257789,-5.700628251
TSC22D4,0.156846568,2.155384064,1.286672852,0.232616199,0.493257789,-5.700693753
CD2AP,-0.052354931,3.551329456,-1.286646859,0.232624842,0.493257789,-5.700724229
DAZAP2,0.034881974,3.856802985,1.286568488,0.232650903,0.493257789,-5.700816116
CCNY,-0.056297638,3.524841479,-1.286561756,0.232653141,0.493257789,-5.700824009
GTF2H1,0.039540605,3.403937258,1.286506879,0.232671391,0.493257789,-5.700888347
AKR7A3,-0.124151624,2.78499822,-1.286504021,0.232672342,0.493257789,-5.700891698
LOC100506282,0.091183201,1.859685318,1.286459067,0.232687293,0.493257789,-5.700944402
PET112,-0.054529631,2.923686383,-1.286223563,0.232765631,0.493354465,-5.701220485
INTS4,0.210734559,1.797331554,1.285786259,0.232911156,0.493483048,-5.701733049
LAMTOR3,-0.047646152,3.645277786,-1.285756978,0.232920902,0.493483048,-5.701767366
SOX2-OT,0.245965331,1.898491445,1.285451204,0.233022705,0.493483048,-5.702125689
BEAN1,-0.135655105,1.87653119,-1.285377857,0.233047131,0.493483048,-5.702211634
GRIN2A,-0.240919976,1.927207259,-1.285193273,0.233108609,0.493483048,-5.702427904
DNAH5,0.114348491,1.816903057,1.28510615,0.233137631,0.493483048,-5.702529976
DCTN6,-0.040520918,3.513539598,-1.285054831,0.233154728,0.493483048,-5.702590099
TCF12,-0.041804075,3.481685807,-1.285034976,0.233161343,0.493483048,-5.70261336
MYO1H,0.26877106,1.777756909,1.284908627,0.233203441,0.493483048,-5.702761374
TTLL5,0.048715348,1.995540849,1.284803495,0.233238475,0.493483048,-5.702884527
ERRFI1,-0.108708142,3.626739069,-1.284796404,0.233240838,0.493483048,-5.702892833
EML5,0.271261705,1.886665527,1.284776231,0.233247561,0.493483048,-5.702916463
NAA38,0.030557358,3.53699423,1.284763093,0.23325194,0.493483048,-5.702931853
RBM14,0.15704313,2.685476942,1.284564518,0.233318127,0.493553798,-5.703164441
RAB28,0.075794821,2.129859399,1.284259615,0.233419786,0.493643394,-5.703521526
LOC101060405 ,0.15957467,2.55487976,1.284241021,0.233425987,0.493643394,-5.7035433
MGMT,0.032890275,3.410318242,1.284023263,0.233498614,0.49372771,-5.703798288
COA4,0.065255261,3.529014832,1.283438223,0.233693834,0.494071184,-5.704483211
RNF207,-0.080671368,3.049287922,-1.283213761,0.233768771,0.494160296,-5.70474594
DEPDC5,0.058570846,2.3247542,1.28301713,0.233834432,0.494211832,-5.704976068
RBFOX2,-0.054174175,3.520289426,-1.282944377,0.233858731,0.494211832,-5.705061208
FAM168A,0.12229689,3.164188437,1.282282969,0.23407973,0.494554876,-5.70583509
LOC283177,-0.083438299,2.02589306,-1.282262167,0.234086683,0.494554876,-5.705859425
HADH,0.06129559,3.306899301,1.282000457,0.23417418,0.49466826,-5.706165563
GPATCH2L,-0.076358317,1.962141515,-1.281774477,0.234249753,0.49466826,-5.706429872
RP3-486D24.1,-0.030338297,3.768902613,-1.281770399,0.234251117,0.49466826,-5.706434641
LOC100130705,0.271556318,1.678712031,1.281613887,0.234303471,0.49466826,-5.706617682
LINC00667,-0.162401432,2.681112579,-1.281610953,0.234304453,0.49466826,-5.706621112
M6PR,0.079633698,3.334768199,1.281397827,0.23437576,0.494749504,-5.706870338
PCDHGA1 ,-0.07609215,3.378496535,-1.280934582,0.234530815,0.494938678,-5.707411952
LINC01094,0.210417736,2.425270848,1.280922947,0.234534711,0.494938678,-5.707425554
ZBED5,-0.03918557,3.447697066,-1.280835796,0.234563892,0.494938678,-5.707527434
CTBP1-AS2,-0.059874829,2.856490649,-1.280620436,0.234636014,0.495021556,-5.70777917
TRHDE,0.218502609,2.096158263,1.280345451,0.23472813,0.495146589,-5.708100561
TMEM208,0.045673205,3.385771182,1.280210652,0.234773298,0.495172564,-5.708258092
ZNF493,-0.218885704,2.897997955,-1.279628384,0.234968483,0.495463114,-5.708938425
COX6CP1 ,0.054242282,2.940186537,1.27960358,0.234976801,0.495463114,-5.708967403
HSPA9,-0.074396833,3.149993071,-1.278868524,0.235223405,0.495913716,-5.709825951
LOC101928916 ,-0.093969323,3.624568316,-1.278699079,0.235280283,0.495964255,-5.710023817
FAM136A ,0.047329355,3.476248831,1.278467317,0.235358097,0.495997023,-5.710294424
PRKX,0.189056497,3.150229931,1.278419395,0.23537419,0.495997023,-5.710350373
SLC9A7,0.176910684,2.550689218,1.278358759,0.235394553,0.495997023,-5.710421166
PCDHB15,-0.106383419,2.129004359,-1.278226901,0.23543884,0.496020995,-5.7105751
ST8SIA4,0.052940261,1.824665841,1.277903375,0.235547532,0.49618063,-5.71095275
TNFAIP8,-0.059243229,3.398738129,-1.277409898,0.235713402,0.496460648,-5.711528659
LOC101930324 ,-0.062790332,3.473755721,-1.277062072,0.235830374,0.496637614,-5.711934499
TAB3,-0.090536115,1.931310614,-1.2768964,0.235886106,0.496676134,-5.712127777
TRAF7,0.079520182,2.98620244,1.276772832,0.235927681,0.496676134,-5.712271924
TTC39B,-0.135296583,2.947805499,-1.276713855,0.235947526,0.496676134,-5.71234072
GEMIN8,-0.080171278,2.550569394,-1.276241695,0.236106455,0.496941278,-5.712891413
CENPV,0.343853546,2.52323288,1.276048977,0.23617135,0.49700846,-5.713116147
ZNF786,0.060576424,2.680448407,1.275769414,0.236265515,0.497137211,-5.713442112
LOC101926996,0.054302016,1.734784865,1.275415308,0.236384833,0.497318844,-5.713854924
ZNF146,0.041614778,3.329203363,1.274945739,0.236543135,0.497516856,-5.714402225
JPH2,-0.381959466,2.639462287,-1.274940298,0.23654497,0.497516856,-5.714408565
